DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,VISITOR_ABBR,HOME_ABBR
2021-01-20,MIAMI HEAT,111.0,TORONTO RAPTORS,102.0,MIA,TOR
2021-01-20,ORLANDO MAGIC,97.0,MINNESOTA TIMBERWOLVES,96.0,ORL,MIN
2021-01-20,PHOENIX SUNS,109.0,HOUSTON ROCKETS,103.0,PHO,HOU
2021-01-20,SAN ANTONIO SPURS,99.0,GOLDEN STATE WARRIORS,121.0,SAS,GSW
2021-01-20,SACRAMENTO KINGS,96.0,LOS ANGELES CLIPPERS,115.0,SAC,LAC
2021-01-21,LOS ANGELES LAKERS,113.0,MILWAUKEE BUCKS,106.0,LAL,MIL
2021-01-21,NEW YORK KNICKS,119.0,GOLDEN STATE WARRIORS,104.0,NYK,GSW
2021-01-21,NEW ORLEANS PELICANS,118.0,UTAH JAZZ,129.0,NOP,UTA
2021-01-22,CHICAGO BULLS,123.0,CHARLOTTE HORNETS,110.0,CHI,CHO
2021-01-22,HOUSTON ROCKETS,103.0,DETROIT PISTONS,102.0,HOU,DET
2021-01-22,ORLANDO MAGIC,118.0,INDIANA PACERS,120.0,ORL,IND
2021-01-22,BROOKLYN NETS,113.0,CLEVELAND CAVALIERS,125.0,BRK,CLE
2021-01-22,BOSTON CELTICS,110.0,PHILADELPHIA 76ERS,122.0,BOS,PHI
2021-01-22,MIAMI HEAT,81.0,TORONTO RAPTORS,101.0,MIA,TOR
2021-01-22,ATLANTA HAWKS,116.0,MINNESOTA TIMBERWOLVES,98.0,ATL,MIN
2021-01-22,DALLAS MAVERICKS,122.0,SAN ANTONIO SPURS,117.0,DAL,SAS
2021-01-22,OKLAHOMA CITY THUNDER,106.0,LOS ANGELES CLIPPERS,120.0,OKC,LAC
2021-01-22,DENVER NUGGETS,130.0,PHOENIX SUNS,126.0,DEN,PHO
2021-01-22,NEW YORK KNICKS,94.0,SACRAMENTO KINGS,103.0,NYK,SAC
2021-01-23,MIAMI HEAT,124.0,BROOKLYN NETS,128.0,MIA,BRK
2021-01-23,PHILADELPHIA 76ERS,114.0,DETROIT PISTONS,110.0,PHI,DET
2021-01-23,NEW ORLEANS PELICANS,110.0,MINNESOTA TIMBERWOLVES,120.0,NOP,MIN
2021-01-23,LOS ANGELES LAKERS,101.0,CHICAGO BULLS,90.0,LAL,CHI
2021-01-23,HOUSTON ROCKETS,133.0,DALLAS MAVERICKS,108.0,HOU,DAL
2021-01-23,DENVER NUGGETS,120.0,PHOENIX SUNS,112.0,DEN,PHO
2021-01-23,GOLDEN STATE WARRIORS,108.0,UTAH JAZZ,127.0,GSW,UTA
2021-01-24,TORONTO RAPTORS,107.0,INDIANA PACERS,102.0,TOR,IND
2021-01-24,OKLAHOMA CITY THUNDER,100.0,LOS ANGELES CLIPPERS,108.0,OKC,LAC
2021-01-24,CLEVELAND CAVALIERS,103.0,BOSTON CELTICS,141.0,CLE,BOS
2021-01-24,CHARLOTTE HORNETS,107.0,ORLANDO MAGIC,104.0,CHO,ORL
2021-01-24,ATLANTA HAWKS,115.0,MILWAUKEE BUCKS,129.0,ATL,MIL
2021-01-24,WASHINGTON WIZARDS,101.0,SAN ANTONIO SPURS,121.0,WAS,SAS
2021-01-24,NEW YORK KNICKS,113.0,PORTLAND TRAIL BLAZERS,116.0,NYK,POR
2021-01-25,PHILADELPHIA 76ERS,104.0,DETROIT PISTONS,119.0,PHI,DET
2021-01-25,TORONTO RAPTORS,114.0,INDIANA PACERS,129.0,TOR,IND
2021-01-25,CHARLOTTE HORNETS,108.0,ORLANDO MAGIC,117.0,CHO,ORL
2021-01-25,MIAMI HEAT,85.0,BROOKLYN NETS,98.0,MIA,BRK
2021-01-25,LOS ANGELES LAKERS,115.0,CLEVELAND CAVALIERS,108.0,LAL,CLE
2021-01-25,DENVER NUGGETS,117.0,DALLAS MAVERICKS,113.0,DEN,DAL
2021-01-25,BOSTON CELTICS,119.0,CHICAGO BULLS,103.0,BOS,CHI
2021-01-25,MINNESOTA TIMBERWOLVES,108.0,GOLDEN STATE WARRIORS,130.0,MIN,GSW
2021-01-25,OKLAHOMA CITY THUNDER,125.0,PORTLAND TRAIL BLAZERS,122.0,OKC,POR
2021-01-26,LOS ANGELES CLIPPERS,99.0,ATLANTA HAWKS,108.0,LAC,ATL
2021-01-26,WASHINGTON WIZARDS,88.0,HOUSTON ROCKETS,107.0,WAS,HOU
2021-01-26,NEW YORK KNICKS,94.0,UTAH JAZZ,108.0,NYK,UTA
2021-01-27,INDIANA PACERS,116.0,CHARLOTTE HORNETS,106.0,IND,CHO
2021-01-27,DETROIT PISTONS,107.0,CLEVELAND CAVALIERS,122.0,DET,CLE
2021-01-27,SACRAMENTO KINGS,121.0,ORLANDO MAGIC,107.0,SAC,ORL
2021-01-27,BROOKLYN NETS,132.0,ATLANTA HAWKS,128.0,BRK,ATL
2021-01-27,DENVER NUGGETS,109.0,MIAMI HEAT,82.0,DEN,MIA
2021-01-27,LOS ANGELES LAKERS,106.0,PHILADELPHIA 76ERS,107.0,LAL,PHI
2021-01-27,MILWAUKEE BUCKS,115.0,TORONTO RAPTORS,108.0,MIL,TOR
2021-01-27,BOSTON CELTICS,106.0,SAN ANTONIO SPURS,110.0,BOS,SAS
2021-01-27,WASHINGTON WIZARDS,106.0,NEW ORLEANS PELICANS,124.0,WAS,NOP
2021-01-27,OKLAHOMA CITY THUNDER,102.0,PHOENIX SUNS,97.0,OKC,PHO
2021-01-27,DALLAS MAVERICKS,104.0,UTAH JAZZ,116.0,DAL,UTA
2021-01-27,MINNESOTA TIMBERWOLVES,111.0,GOLDEN STATE WARRIORS,123.0,MIN,GSW
2021-01-28,PORTLAND TRAIL BLAZERS,101.0,HOUSTON ROCKETS,104.0,POR,HOU
