DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2021-11-24,Toronto Raptors,126.0,Memphis Grizzlies,113.0
2021-11-24,Detroit Pistons,93.0,Milwaukee Bucks,114.0
2021-11-24,Miami Heat,101.0,Minnesota Timberwolves,113.0
2021-11-24,Washington Wizards,102.0,New Orleans Pelicans,127.0
2021-11-24,Utah Jazz,110.0,Oklahoma City Thunder,104.0
2021-11-24,Atlanta Hawks,124.0,San Antonio Spurs,106.0
2021-11-24,Philadelphia 76ers,96.0,Golden State Warriors,116.0
2021-11-24,Portland Trail Blazers,121.0,Sacramento Kings,125.0
2021-11-26,Detroit Pistons,96.0,Los Angeles Clippers,107.0
2021-11-26,Minnesota Timberwolves,115.0,Charlotte Hornets,133.0
2021-11-26,Phoenix Suns,118.0,New York Knicks,97.0
2021-11-26,Chicago Bulls,123.0,Orlando Magic,88.0
2021-11-26,Toronto Raptors,97.0,Indiana Pacers,114.0
2021-11-26,Atlanta Hawks,132.0,Memphis Grizzlies,100.0
2021-11-26,Washington Wizards,101.0,Oklahoma City Thunder,99.0
2021-11-26,Boston Celtics,88.0,San Antonio Spurs,96.0
2021-11-26,Milwaukee Bucks,120.0,Denver Nuggets,109.0
2021-11-26,New Orleans Pelicans,98.0,Utah Jazz,97.0
2021-11-26,Portland Trail Blazers,103.0,Golden State Warriors,118.0
2021-11-26,Sacramento Kings,141.0,Los Angeles Lakers,137.0
2021-11-27,Minnesota Timberwolves,121.0,Philadelphia 76ers,120.0
2021-11-27,New York Knicks,99.0,Atlanta Hawks,90.0
2021-11-27,Phoenix Suns,113.0,Brooklyn Nets,107.0
2021-11-27,Miami Heat,107.0,Chicago Bulls,104.0
2021-11-27,Orlando Magic,92.0,Cleveland Cavaliers,105.0
2021-11-27,Charlotte Hornets,143.0,Houston Rockets,146.0
2021-11-27,Washington Wizards,120.0,Dallas Mavericks,114.0
2021-11-27,New Orleans Pelicans,105.0,Utah Jazz,127.0
2021-11-28,Golden State Warriors,105.0,Los Angeles Clippers,90.0
2021-11-28,Milwaukee Bucks,118.0,Indiana Pacers,100.0
2021-11-28,Sacramento Kings,101.0,Memphis Grizzlies,128.0
2021-11-28,Boston Celtics,109.0,Toronto Raptors,97.0
2021-11-28,Detroit Pistons,106.0,Los Angeles Lakers,110.0
2021-11-29,Orlando Magic,96.0,Philadelphia 76ers,101.0
2021-11-29,Denver Nuggets,120.0,Miami Heat,111.0
2021-11-29,Charlotte Hornets,119.0,Chicago Bulls,133.0
2021-11-29,Oklahoma City Thunder,89.0,Houston Rockets,102.0
2021-11-29,Indiana Pacers,98.0,Minnesota Timberwolves,100.0
2021-11-29,Cleveland Cavaliers,114.0,Dallas Mavericks,96.0
2021-11-29,Washington Wizards,99.0,San Antonio Spurs,116.0
2021-11-29,Portland Trail Blazers,107.0,Utah Jazz,129.0
