DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2021-11-22,SAS,PHO,111,115,-4,0,.527,.500,.250,23,44,.511,.813,.444,25,44
2021-11-22,UTA,MEM,118,119,-1,0,.471,.760,.395,26,46,.442,.815,.371,24,50
2021-11-22,SAC,PHI,94,102,-8,0,.413,.724,.226,17,49,.424,.778,.281,19,45
2021-11-23,DET,MIA,92,100,-8,0,.417,.857,.263,22,35,.461,.724,.310,22,51
2021-11-23,NYK,LAL,106,100,6,1,.451,.810,.441,23,52,.374,.700,.306,23,50
2021-11-23,POR,DEN,119,100,19,1,.511,.700,.385,25,43,.487,.818,.455,26,37
2021-11-23,LAC,DAL,104,112,-8,0,.412,.828,.313,17,47,.438,.815,.308,22,42
2021-11-24,CLE,PHO,115,120,-5,0,.443,.680,.308,22,44,.523,.786,.364,26,47
2021-11-24,IND,LAL,116,124,-8,0,.404,.792,.283,25,52,.442,.862,.405,20,52
2021-11-24,ORL,CHO,99,106,-7,0,.409,.800,.357,23,51,.419,.762,.300,26,49
2021-11-24,BOS,BRK,104,123,-19,0,.374,.893,.229,25,45,.506,.767,.400,29,50
