DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,home_winning_percentage,visitor_winning_percentage
2021-11-10,DEN,IND,101,98,3,1,0.429,0.85,0.4,19,39,0.47600000000000003,0.636,0.355,22,48,0.6363636363636364,0.3333333333333333
2021-11-10,PHO,POR,119,109,10,1,0.521,0.833,0.39299999999999996,27,39,0.484,0.875,0.233,24,46,0.7,0.4166666666666667
2021-11-10,GSW,MIN,123,110,13,1,0.47100000000000003,0.8,0.275,23,53,0.41100000000000003,0.75,0.386,30,40,0.9090909090909091,0.3
2021-11-10,LAL,MIA,120,117,3,1,0.5,0.625,0.474,26,50,0.41700000000000004,0.7709999999999999,0.27,26,47,0.5833333333333334,0.6363636363636364
2021-11-11,PHI,TOR,109,115,-6,0,0.455,0.9470000000000001,0.324,29,39,0.43799999999999994,1.0,0.424,25,47,0.6153846153846154,0.5384615384615384
2021-11-11,UTA,IND,100,111,-11,0,0.47,0.565,0.281,22,37,0.44799999999999995,0.737,0.355,19,53,0.6666666666666666,0.38461538461538464
2021-11-11,LAC,MIA,112,109,3,1,0.473,0.882,0.297,20,42,0.44299999999999995,0.8240000000000001,0.22,18,50,0.6363636363636364,0.5833333333333334
2021-11-12,CHO,NYK,104,96,8,1,0.433,0.667,0.278,25,49,0.387,0.611,0.371,17,51,0.5,0.5384615384615384
2021-11-12,BOS,MIL,122,113,9,1,0.49,0.889,0.293,22,53,0.449,0.818,0.34,23,39,0.5,0.46153846153846156
2021-11-12,CLE,DET,98,78,20,1,0.47600000000000003,0.667,0.341,27,40,0.3670000000000001,0.846,0.3,18,43,0.6153846153846154,0.18181818181818182
2021-11-12,HOU,POR,92,104,-12,0,0.4,0.63,0.21899999999999997,13,49,0.391,0.8059999999999999,0.306,21,52,0.08333333333333333,0.46153846153846156
2021-11-12,MEM,PHO,94,119,-25,0,0.37799999999999995,0.565,0.212,19,59,0.489,1.0,0.486,28,46,0.5,0.7272727272727273
