DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,margin,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2021-01-25,DET,15,119.0,104.0,PHI,.500,.842,.447,22,47,.426,.750,.321,15,36
2021-01-25,IND,15,129.0,114.0,TOR,.513,.822,.414,26,45,.409,.889,.368,24,39
2021-01-25,ORL,9,117.0,108.0,CHO,.477,.636,.514,31,49,.438,.704,.289,22,41
2021-01-25,BRK,13,98.0,85.0,MIA,.400,.864,.289,24,49,.369,.706,.256,20,45
2021-01-25,CLE,-7,108.0,115.0,LAL,.465,.864,.429,19,44,.483,.750,.313,21,40
2021-01-25,DAL,-4,113.0,117.0,DEN,.488,.833,.344,26,34,.506,.786,.429,25,49
2021-01-25,CHI,-16,103.0,119.0,BOS,.466,.400,.436,28,41,.506,.800,.517,28,44
2021-01-25,GSW,22,130.0,108.0,MIN,.494,.757,.467,21,46,.415,.880,.333,26,47
2021-01-25,POR,-3,122.0,125.0,OKC,.469,.762,.341,17,50,.512,.600,.450,25,43
2021-01-26,ATL,9,108.0,99.0,LAC,.463,.960,.385,20,46,.404,.864,.308,23,46
2021-01-26,HOU,19,107.0,88.0,WAS,.420,.724,.324,16,44,.393,.739,.192,19,49
2021-01-26,UTA,14,108.0,94.0,NYK,.402,.864,.313,24,53,.434,.706,.370,15,44
2021-01-27,CHO,-10,106.0,116.0,IND,.411,.905,.342,28,39,.511,.833,.400,34,47
2021-01-27,CLE,15,122.0,107.0,DET,.540,.739,.524,24,37,.451,.759,.407,29,40
2021-01-27,ORL,-14,107.0,121.0,SAC,.417,.944,.385,25,47,.489,.654,.424,30,50
2021-01-27,ATL,-4,128.0,132.0,BRK,.479,.893,.394,29,37,.531,.850,.344,29,36
2021-01-27,MIA,-27,82.0,109.0,DEN,.375,.818,.289,24,38,.457,1.000,.326,29,49
2021-01-27,PHI,1,107.0,106.0,LAL,.482,.615,.360,24,38,.477,.640,.333,20,37
2021-01-27,TOR,-7,108.0,115.0,MIL,.404,.833,.400,26,46,.430,.731,.364,30,59
2021-01-27,SAS,4,110.0,106.0,BOS,.561,.625,.286,22,46,.429,.857,.333,15,39
2021-01-27,NOP,18,124.0,106.0,WAS,.517,.625,.395,27,50,.402,.905,.342,29,39
2021-01-27,PHO,-5,97.0,102.0,OKC,.379,.833,.349,19,49,.447,.714,.400,21,48
2021-01-27,UTA,12,116.0,104.0,DAL,.462,.762,.390,20,50,.462,.889,.343,22,36
2021-01-27,GSW,12,123.0,111.0,MIN,.529,.783,.441,32,46,.425,.697,.389,23,39
