DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,MARGIN,HOME_ABBR,VISITOR_ABBR,HOME_TEAM_WINS,ID
2021-01-20,PHOENIX SUNS,109.0,HOUSTON ROCKETS,103.0,-6,HOU,PHO,0,207
2021-01-20,SAN ANTONIO SPURS,99.0,GOLDEN STATE WARRIORS,121.0,22,GSW,SAS,1,208
2021-01-20,SACRAMENTO KINGS,96.0,LOS ANGELES CLIPPERS,115.0,19,LAC,SAC,1,209
2021-01-21,LOS ANGELES LAKERS,113.0,MILWAUKEE BUCKS,106.0,-7,MIL,LAL,0,210
2021-01-21,NEW YORK KNICKS,119.0,GOLDEN STATE WARRIORS,104.0,-15,GSW,NYK,0,211
2021-01-21,NEW ORLEANS PELICANS,118.0,UTAH JAZZ,129.0,11,UTA,NOP,1,212
2021-01-22,CHICAGO BULLS,123.0,CHARLOTTE HORNETS,110.0,-13,CHO,CHI,0,213
2021-01-22,HOUSTON ROCKETS,103.0,DETROIT PISTONS,102.0,-1,DET,HOU,0,214
2021-01-22,ORLANDO MAGIC,118.0,INDIANA PACERS,120.0,2,IND,ORL,1,215
2021-01-22,BROOKLYN NETS,113.0,CLEVELAND CAVALIERS,125.0,12,CLE,BRK,1,216
2021-01-22,BOSTON CELTICS,110.0,PHILADELPHIA 76ERS,122.0,12,PHI,BOS,1,217
2021-01-22,MIAMI HEAT,81.0,TORONTO RAPTORS,101.0,20,TOR,MIA,1,218
2021-01-22,ATLANTA HAWKS,116.0,MINNESOTA TIMBERWOLVES,98.0,-18,MIN,ATL,0,219
2021-01-22,DALLAS MAVERICKS,122.0,SAN ANTONIO SPURS,117.0,-5,SAS,DAL,0,220
2021-01-22,OKLAHOMA CITY THUNDER,106.0,LOS ANGELES CLIPPERS,120.0,14,LAC,OKC,1,221
2021-01-22,DENVER NUGGETS,130.0,PHOENIX SUNS,126.0,-4,PHO,DEN,0,222
2021-01-22,NEW YORK KNICKS,94.0,SACRAMENTO KINGS,103.0,9,SAC,NYK,1,223
