DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2021-02-08,Houston Rockets,,Charlotte Hornets,
2021-02-08,Washington Wizards,,Chicago Bulls,
2021-02-08,Toronto Raptors,,Memphis Grizzlies,
2021-02-08,Minnesota Timberwolves,,Dallas Mavericks,
2021-02-08,Golden State Warriors,,San Antonio Spurs,
2021-02-08,Cleveland Cavaliers,,Phoenix Suns,
2021-02-08,Milwaukee Bucks,,Denver Nuggets,
2021-02-08,Oklahoma City Thunder,,Los Angeles Lakers,
2021-02-09,Brooklyn Nets,,Detroit Pistons,
2021-02-09,New York Knicks,,Miami Heat,
2021-02-09,Houston Rockets,,New Orleans Pelicans,
2021-02-09,Golden State Warriors,,San Antonio Spurs,
2021-02-09,Orlando Magic,,Portland Trail Blazers,
2021-02-09,Philadelphia 76ers,,Sacramento Kings,
2021-02-09,Boston Celtics,,Utah Jazz,
2021-02-10,Toronto Raptors,,Washington Wizards,
2021-02-10,Atlanta Hawks,,Dallas Mavericks,
2021-02-10,Indiana Pacers,,Brooklyn Nets,
2021-02-10,Charlotte Hornets,,Memphis Grizzlies,
2021-02-10,Los Angeles Clippers,,Minnesota Timberwolves,
2021-02-10,New Orleans Pelicans,,Chicago Bulls,
2021-02-10,Cleveland Cavaliers,,Denver Nuggets,
2021-02-10,Oklahoma City Thunder,,Los Angeles Lakers,
2021-02-10,Milwaukee Bucks,,Phoenix Suns,
2021-02-11,Toronto Raptors,,Boston Celtics,
2021-02-11,Miami Heat,,Houston Rockets,
2021-02-11,Indiana Pacers,,Detroit Pistons,
2021-02-11,Orlando Magic,,Golden State Warriors,
2021-02-11,Philadelphia 76ers,,Portland Trail Blazers,
2021-02-12,Detroit Pistons,,Boston Celtics,
2021-02-12,Minnesota Timberwolves,,Charlotte Hornets,
2021-02-12,New York Knicks,,Washington Wizards,
2021-02-12,San Antonio Spurs,,Atlanta Hawks,
2021-02-12,New Orleans Pelicans,,Dallas Mavericks,
2021-02-12,Los Angeles Clippers,,Chicago Bulls,
2021-02-12,Oklahoma City Thunder,,Denver Nuggets,
2021-02-12,Milwaukee Bucks,,Utah Jazz,
2021-02-12,Memphis Grizzlies,,Los Angeles Lakers,
2021-02-12,Cleveland Cavaliers,,Portland Trail Blazers,
2021-02-12,Orlando Magic,,Sacramento Kings,
2021-02-13,Philadelphia 76ers,,Phoenix Suns,
2021-02-13,Indiana Pacers,,Atlanta Hawks,
2021-02-13,Houston Rockets,,New York Knicks,
2021-02-13,Brooklyn Nets,,Golden State Warriors,
2021-02-13,Miami Heat,,Utah Jazz,
2021-02-14,Boston Celtics,,Washington Wizards,
2021-02-14,Portland Trail Blazers,,Dallas Mavericks,
2021-02-14,Minnesota Timberwolves,,Toronto Raptors,
2021-02-14,San Antonio Spurs,,Charlotte Hornets,
2021-02-14,New Orleans Pelicans,,Detroit Pistons,
2021-02-14,Milwaukee Bucks,,Oklahoma City Thunder,
2021-02-14,Los Angeles Lakers,,Denver Nuggets,
2021-02-14,Orlando Magic,,Phoenix Suns,
2021-02-14,Memphis Grizzlies,,Sacramento Kings,
2021-02-14,Cleveland Cavaliers,,Los Angeles Clippers,
2021-02-15,Chicago Bulls,,Indiana Pacers,
2021-02-15,Houston Rockets,,Washington Wizards,
2021-02-15,Atlanta Hawks,,New York Knicks,
2021-02-15,Philadelphia 76ers,,Utah Jazz,
2021-02-15,Cleveland Cavaliers,,Golden State Warriors,
2021-02-15,Miami Heat,,Los Angeles Clippers,
2021-02-15,Brooklyn Nets,,Sacramento Kings,
2021-02-16,Denver Nuggets,,Boston Celtics,
2021-02-16,San Antonio Spurs,,Detroit Pistons,
2021-02-16,New Orleans Pelicans,,Memphis Grizzlies,
2021-02-16,Toronto Raptors,,Milwaukee Bucks,
2021-02-16,Los Angeles Lakers,,Minnesota Timberwolves,
2021-02-16,Portland Trail Blazers,,Oklahoma City Thunder,
2021-02-16,Brooklyn Nets,,Phoenix Suns,
2021-02-17,Chicago Bulls,,Charlotte Hornets,
2021-02-17,San Antonio Spurs,,Cleveland Cavaliers,
2021-02-17,New York Knicks,,Orlando Magic,
2021-02-17,Denver Nuggets,,Washington Wizards,
2021-02-17,Atlanta Hawks,,Boston Celtics,
2021-02-17,Houston Rockets,,Philadelphia 76ers,
2021-02-17,Indiana Pacers,,Minnesota Timberwolves,
2021-02-17,Portland Trail Blazers,,New Orleans Pelicans,
2021-02-17,Detroit Pistons,,Dallas Mavericks,
2021-02-17,Oklahoma City Thunder,,Memphis Grizzlies,
2021-02-17,Miami Heat,,Golden State Warriors,
2021-02-17,Utah Jazz,,Los Angeles Clippers,
2021-02-18,Toronto Raptors,,Milwaukee Bucks,
